Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
THE GLACIER,"1,790,000","1,410.08","1,269",Oct-21,JOO CHIAT PLACE,Resale,Strata,131,"13,664",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
SEVENTY SAINT PATRICK'S,"2,300,000","1,345.5","1,709",Oct-21,ST. PATRICK'S ROAD,Resale,Strata,125,"18,400",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
FLAMINGO VALLEY,"1,450,000",958,"1,514",Oct-21,SIGLAP ROAD,Resale,Strata,89,"16,292",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
ONE AMBER,"2,410,000","1,334.74","1,806",Oct-21,AMBER GARDENS,Resale,Strata,124,"19,435",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
ONE FORT,"1,750,000","1,054.87","1,659",Oct-21,FORT ROAD,Resale,Strata,98,"17,857",-,Condominium,1,Freehold,15,Rest of Central Region,11 to 15
LEGENDA AT JOO CHIAT,"1,330,000","1,216.33","1,093",Oct-21,JOO CHIAT LANE,Resale,Strata,113,"11,770",-,Condominium,1,99 yrs lease commencing from 2001,15,Rest of Central Region,01 to 05
HAIG 162,"731,000",495.14,"1,476",Oct-21,HAIG ROAD,Resale,Strata,46,"15,891",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
VERSILIA ON HAIG,"1,900,000","1,130.22","1,681",Oct-21,IPOH LANE,Resale,Strata,105,"18,095",-,Condominium,1,Freehold,15,Rest of Central Region,16 to 20
FLAMINGO VALLEY,"1,920,000","1,205.57","1,593",Oct-21,SIGLAP ROAD,Resale,Strata,112,"17,143",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
TEMBELING CENTRE,"2,500,000","1,959.05","1,276",Oct-21,TEMBELING ROAD,Resale,Strata,182,"13,736",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
AALTO,"4,500,000","2,023.63","2,224",Oct-21,MEYER ROAD,Resale,Strata,188,"23,936",-,Condominium,1,Freehold,15,Rest of Central Region,16 to 20
GARDEN PARK RESIDENCES,"2,110,000","1,625.36","1,298",Oct-21,LORONG M TELOK KURAU,Resale,Strata,151,"13,974",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
CHELSEA LODGE,"1,505,000","1,237.86","1,216",Oct-21,TANJONG KATONG ROAD,Resale,Strata,115,"13,087",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
MANDARIN GARDENS,"1,628,000","1,528.49","1,065",Oct-21,SIGLAP ROAD,Resale,Strata,142,"11,465",-,Condominium,1,99 yrs lease commencing from 1982,15,Outside Central Region,01 to 05
BUTTERWORTH 8,"2,550,000","1,463.9","1,742",Oct-21,BUTTERWORTH LANE,Resale,Strata,136,"18,750",-,Condominium,1,Freehold,15,Rest of Central Region,11 to 15
THE SHORE RESIDENCES,"1,580,000",893.41,"1,769",Oct-21,AMBER ROAD,Resale,Strata,83,"19,036",-,Condominium,1,103 yrs lease commencing from 2009,15,Rest of Central Region,16 to 20
VIBES @ EAST COAST,"635,000",419.8,"1,513",Oct-21,TELOK KURAU ROAD,Resale,Strata,39,"16,282",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
PEBBLE BAY,"3,220,000","1,894.46","1,700",Oct-21,TANJONG RHU ROAD,Resale,Strata,176,"18,295",-,Condominium,1,99 yrs lease commencing from 1994,15,Rest of Central Region,06 to 10
ONE FORT,"1,920,000","1,227.1","1,565",Oct-21,FORT ROAD,Resale,Strata,114,"16,842",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
FERNWOOD TOWERS,"2,600,000","1,636.13","1,589",Oct-21,FERNWOOD TERRACE,Resale,Strata,152,"17,105",-,Condominium,1,Freehold,15,Outside Central Region,16 to 20
SUNSHINE MANSIONS,"1,080,000",818.06,"1,320",Oct-21,JOO CHIAT PLACE,Resale,Strata,76,"14,211",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
ONE AMBER,"2,439,000","1,280.92","1,904",Oct-21,AMBER GARDENS,Resale,Strata,119,"20,496",-,Condominium,1,Freehold,15,Rest of Central Region,21 to 25
THE SEAFRONT ON MEYER,"3,000,000","1,603.84","1,871",Oct-21,MEYER ROAD,Resale,Strata,149,"20,134",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05
SILVERSEA,"2,710,000","1,571.54","1,724",Oct-21,MARINE PARADE ROAD,Resale,Strata,146,"18,562",-,Condominium,1,99 yrs lease commencing from 2007,15,Rest of Central Region,06 to 10
KATONG REGENCY,"1,800,000",990.29,"1,818",Oct-21,TANJONG KATONG ROAD,Resale,Strata,92,"19,565",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
CHELSEA LODGE,"1,128,000",958,"1,177",Oct-21,TANJONG KATONG ROAD,Resale,Strata,89,"12,674",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
CRESCENDO PARK,"2,752,000","2,088.22","1,318",Oct-21,JALAN TUA KONG,Resale,Strata,194,"14,186",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
SEVENTY SAINT PATRICK'S,"1,860,000","1,033.34","1,800",Oct-21,ST. PATRICK'S ROAD,Resale,Strata,96,"19,375",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
NEPTUNE COURT,"1,500,000","1,636.13",917,Oct-21,MARINE VISTA,Resale,Strata,152,"9,868",-,Apartment,1,99 yrs lease commencing from 1975,15,Outside Central Region,01 to 05
THE LINE @ TANJONG RHU,"2,287,240","1,054.87","2,168",Oct-21,TANJONG RHU ROAD,Resale,Strata,98,"23,339",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
SILVERSEA,"2,700,000","1,506.96","1,792",Oct-21,MARINE PARADE ROAD,Resale,Strata,140,"19,286",-,Condominium,1,99 yrs lease commencing from 2007,15,Rest of Central Region,01 to 05
THE AMBROSIA,"1,800,000","1,291.68","1,394",Oct-21,LORONG N TELOK KURAU,Resale,Strata,120,"15,000",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
PEBBLE BAY,"3,325,000","1,894.46","1,755",Oct-21,TANJONG RHU ROAD,Resale,Strata,176,"18,892",-,Condominium,1,99 yrs lease commencing from 1994,15,Rest of Central Region,11 to 15
KOON SENG COURT,"1,472,358","1,237.86","1,189",Oct-21,KOON SENG ROAD,Resale,Strata,115,"12,803",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
KOON SENG COURT,"1,418,662","1,151.75","1,232",Oct-21,KOON SENG ROAD,Resale,Strata,107,"13,259",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
KOON SENG COURT,"1,418,662","1,151.75","1,232",Oct-21,KOON SENG ROAD,Resale,Strata,107,"13,259",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
KOON SENG COURT,"995,158",753.48,"1,321",Oct-21,KOON SENG ROAD,Resale,Strata,70,"14,217",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
KOON SENG COURT,"995,158",753.48,"1,321",Oct-21,KOON SENG ROAD,Resale,Strata,70,"14,217",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
LAGOON VIEW,"1,780,000","1,646.89","1,081",Oct-21,MARINE PARADE ROAD,Resale,Strata,153,"11,634",-,Apartment,1,99 yrs lease commencing from 1977,15,Outside Central Region,11 to 15
THE SUNNIDORA,"1,099,999",861.12,"1,277",Oct-21,LORONG G TELOK KURAU,Resale,Strata,80,"13,750",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
LAVERNE'S LOFT,"639,999",441.32,"1,450",Oct-21,LORONG L TELOK KURAU,Resale,Strata,41,"15,610",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
WHITESCAPE,"1,490,000","1,356.26","1,099",Oct-21,LORONG N TELOK KURAU,Resale,Strata,126,"11,825",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
SIGLAP V,"600,000",452.09,"1,327",Oct-21,FIRST STREET,Resale,Strata,42,"14,286",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
THE SEA VIEW,"3,400,000","1,646.89","2,064",Oct-21,AMBER ROAD,Resale,Strata,153,"22,222",-,Condominium,1,Freehold,15,Rest of Central Region,11 to 15
BERKELEY RESIDENCES,"1,250,000",764.24,"1,636",Oct-21,LORONG N TELOK KURAU,Resale,Strata,71,"17,606",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
CASUARINA COVE,"1,830,000","1,388.56","1,318",Oct-21,TANJONG RHU ROAD,Resale,Strata,129,"14,186",-,Condominium,1,99 yrs lease commencing from 1993,15,Rest of Central Region,06 to 10
SANCTUARY GREEN,"1,800,000","1,356.26","1,327",Oct-21,TANJONG RHU ROAD,Resale,Strata,126,"14,286",-,Condominium,1,99 yrs lease commencing from 1997,15,Rest of Central Region,11 to 15
VILLA MARINA,"1,270,000","1,087.16","1,168",Oct-21,JALAN SEMPADAN,Resale,Strata,101,"12,574",-,Condominium,1,99 yrs lease commencing from 1995,15,Outside Central Region,01 to 05
ONE AMBER,"2,488,000","1,388.56","1,792",Oct-21,AMBER GARDENS,Resale,Strata,129,"19,287",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
FORT GARDENS,"2,165,000","1,345.5","1,609",Oct-21,FORT ROAD,Resale,Strata,125,"17,320",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
38 I SUITES,"720,000",495.14,"1,454",Oct-21,IPOH LANE,Resale,Strata,46,"15,652",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
SPRINGVALE,"1,220,000",968.76,"1,259",Oct-21,EAST COAST ROAD,Resale,Strata,90,"13,556",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
